序号,开标时间,项目名称,开标地点,采购单位
1,2018-01-10 09:00,青海省人民医院颌面外科激光/脉冲光工作站采购项目,青海省西宁市城西区文景街14号青海诚鑫招标有限公司1号会议室,青海省人民医院
2,2018-01-10 09:00,全省法院2017年度执行业务系统运维项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海省高级人民法院
3,2018-01-10 09:00,全省法院2017年度执行业务系统运维项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海省高级人民法院
4,2018-01-10 09:00,青海省祁连山自然保护区巡护监测设备采购项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海省祁连山自然保护区管理局
5,2018-01-10 09:30,工程机械设备采购,青海省人民政府行政服务和公共资源交易中心三号开标室（西宁市城西区西川南路53号文博大厦二楼）,玛沁县交通运输局
6,2018-01-10 09:30,西宁市城东区市政工程维修改造项目,西宁市公共资源交易中心二楼,西宁市城东区建设局
7,2018-01-10 09:30,乌兰县广播电视台高清播出系统升级改造项目,上海容基工程项目管理有限公司青海分公司会议室（青海省西宁市西川南路76号万达中心1号写字楼6楼10605室）,乌兰县文化体育广播电视局
8,2018-01-10 09:30,大通县农业技术推广中心配方肥采购,大通县财政局五楼会议室,大通回族土族自治县农业技术推广中心
9,2018-01-10 09:30,西宁经济技术开发区生物科技产业园区2018年道路清扫保洁项目,西宁市公共资源交易中心二楼,西宁经济技术开发区生物科技产业园区管理委员会公共设施管理局
10,2018-01-10 09:30,互助县2018年县城两节亮化项目,青海省海东市建设工程交易中心交易大厅（青海省海东市平安区平安大道206号六楼）,互助县城市管理综合执法局
11,2018-01-10 09:30,德令哈市克鲁诺尔生态畜牧业专业合作社股份合作制改造项目,温州市华夏建设工程招标代理有限公司青海分公司 （海西州行政服务和公共资源交易中心四楼3号谈判询价室）,德令哈市克鲁诺尔生态畜牧业专业合作社
12,2018-01-10 09:30,互助县森林公安局便携式审讯设备采购,互助土族自治县政府采购中心,互助县森林公安局
13,2018-01-10 09:30,碘盐采购（第三次）,青海省西宁市西川南路53号（青海省人民政府行政服务和公共资源交易中心）,青海省卫生和计划生育委员会
14,2018-01-10 09:30,火烧沟生态治理及修复工程水土保持方案报告书、水资源论证报告和防洪影响评价报告编制,青海省西宁市城西区万达SOHOA座20楼会议室,西宁市城西区环境保护局
15,2018-01-10 09:30,纳家山绿化基地基础设施运维保障项目（第二次）,青海省公共资源交易中心2楼1号开标室,青海省环境保护厅机关后勤服务中心
16,2018-01-10 09:30,湟源县16个村基层文化建设项目,西宁市公共资源交易中心二楼开标大厅,湟源县文化旅游体育局
17,2018-01-10 09:30,2017年肉羊标准化规模养殖场建设项目绿草地养殖专业合作社,广东华联建设投资管理股份有限公司西宁分公司地址:西宁市城西区西川南路53号1号楼2单元2111室,民和回族土族自治县农牧局
18,2018-01-10 10:00,玉树市公安局检查站办公家具、厨房设备以及防暴大队厨房设备采购项目 ,青海省西宁市城东区新千国际19号楼9层905室,青海省玉树市公安局
19,2018-01-10 10:00,2017年省级支农资金标准化牛改点建设项目,青海省人民政府行政服务和公共资源交易中心二楼8号开标室，地址：青海省西宁市西川南路53号文博大厦。,青海省家畜改良中心
20,2018-01-10 10:30,海东工业园区标准化厂房等存量资产PPP项目,青海省西宁市城西区西川南路53号文博大厦二楼开标室（青海省人民政府行政服务和公共资源交易中心）,海东工业园区管理委员会规划建设部
21,2018-01-10 10:30,青海省大通县2017年大宗油料生产基地建设项目（田间道路）,西宁市公共资源交易中心二楼（西宁市城西区海湖桥北金座维尼谷湟水花园西门对面）,大通县种子管理站
22,2018-01-10 14:30,兆丰养殖专业合作社2017年肉羊标准化规模养殖场建设项目,广东华联建设投资管理股份有限公司西宁分公司地址:西宁市城西区西川南路53号1号楼2单元2111室,民和回族土族自治县农牧局
23,2018-01-10 14:30,循化撒拉族自治县人民医院医疗设备采购,青海省人民政府行政服务和公共资源交易中心二楼,循化撒拉族自治县人民医院
24,2018-01-10 14:30,循化撒拉族自治县人民医院医疗设备采购,青海省人民政府行政服务和公共资源交易中心二楼,循化撒拉族自治县人民医院
25,2018-01-10 14:30,城北区老年人评估项目,中经国际招标集团有限公司青海分公司（青海省西宁市城西区海湖新区同盛路万达广场SOHO 2号楼17层开标室）,西宁市城北区民政局
26,2018-01-10 14:30,贵南县人民法院及塔秀乡、森多镇四村采购办公设备项目,西宁市黄河路21号可可西里俱乐部四楼9号会议室,贵南县人民法院
27,2018-01-10 14:30,西宁市本级畜产品质量安全风险监测采购项目（第三次）,国采（青海）招标有限公司（西宁市城北区经四路26号国家级科技孵化器大厦3楼）,西宁市畜牧兽医站
28,2018-01-10 14:30,德令哈市2016年第二批国有林场改革补助资金项目,青海省行政服务和公共资源交易中心二楼,德令哈市国有林场
29,2018-01-10 14:30,民和治超站执法设备采购（二次）,德汇工程管理（北京）有限公司青海分公司（西宁市城西区文苑路5号苏商大厦B座9层913室）,德汇工程管理（北京）有限公司青海分公司
30,2018-01-10 14:40,青海省食品检验检测院实验室办公家具采购项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省食品检验检测
31,2018-01-10 14:40,青海省高速公路管理局车辆采购项目,投标地址：青海省政府采购电子化平台；开标地点：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省高速公路管理局
32,2018-01-10 15:00,丰裕养殖专业合作社2017年肉羊标准化规模养殖场建设项目,广东华联建设投资管理股份有限公司西宁分公司  地址:西宁市城西区西川南路53号1号楼2单元2111室,民和回族土族自治县农牧局
33,2018-01-10 15:00,基于无卡健康卡设计的流动人口信息管理系统建设,西宁市五四西路61号新华联国际中心3号公寓楼17楼,青海省卫生信息中心
34,2018-01-10 17:38,2017年省级支农资金标准化牛改点建设项目,青海省人民政府行政服务和公共资源交易中心二楼8号开标室，地址：青海省西宁市西川南路53号文博大厦。,青海省家畜改良中心
