序号,开标时间,项目名称,开标地点,采购单位
1,2018-01-19 09:00,青海师范大学2017年中央财经专项-科研平台与实践基地建设“藏文信息处理教育部重点实验室”项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海师范大学
2,2018-01-19 09:00,青海师范大学2017年中央财政专项-科研平台与实践基地建设“非物质文化遗产研究基地建设”项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海师范大学
3,2018-01-19 09:30,购置公共卫生特种车辆项目,青海诚德招标代理有限公司，地址：西宁市五四西路61号新华联国际中心3号公寓楼17楼,玉树藏族自治州卫生和计划生育委员会
4,2018-01-19 09:30,青海省人民检察院办公楼及“两房”维修项目,青海省西宁市西川南路53号青海省公共资源交易中心2楼 ,青海省人民检察院
5,2018-01-19 09:30,互助县2017年省级示范性家庭农牧场奖补项目（第二次）,互助县政府采购中心,互助县农牧局
6,2018-01-19 09:30,青海红十字医院医疗设备采购项目,青海省公共资源交易中心2楼（青海省西宁市西川南路53号）,青海红十字医院医
7,2018-01-19 09:30,西宁市公安局城北分局警车采购,西宁市公共资源交易中心二楼开标室,西宁市公安局城北分局 
8,2018-01-19 09:30,玉树州博物馆VR实景数字化建设项目,青海省西宁市西川南路53号(青海省人民政府行政服务和公共资源交易中心二楼开标厅),玉树藏族自治州文化体育局
9,2018-01-19 09:30,斜沟乡柏木沟景区旅游产业提升规划设计,西宁市公共资源交易中心（海湖桥北，湟水花园西门对面）,大通回族土族自治县斜沟乡人民政府
10,2018-01-19 09:30,2017年海东市农业发展专项资金富硒大蒜深加项目,西宁市城东区共和路42号太阳能职工公寓二楼中昕国际项目管理有限公司青海分公司开标室,海东市乐都区农牧局
11,2018-01-19 10:00,2017生均拨款专项-藏文信息处理与安全、青藏高原生态环境保护与特色资源开发利用重点学科建设项目,青海省公共资源交易中心2楼 7 号开标室（青海省西宁市西川南路53号）,青海师范大学
12,2018-01-19 10:00,青海省妇女儿童医院进口医疗设备（体外循环仪）采购项目,青海省人民政府行政服务和公共资源交易中心,青海省妇女儿童医院
13,2018-01-19 10:00,青海省基础地理信息中心藏区地理信息公共服务平台软件系统建设项目,青海省公共资源交易中心二楼六号开标厅（青海省西宁市西川南路53号）,青海省基础地理信息中心
14,2018-01-19 10:30,武警青海省总队电脑采购项目,青海金亚工程咨询有限公司办公室（青海省西宁市城西区海湖新区万达华府4号公寓楼1单元10楼）,武警青海省总队
15,2018-01-19 10:30,贵南县2017年财政科技投入专项资金重点项目(第二次）,青海省公共资源交易中心2楼,贵南县农牧和科技局
16,2018-01-19 14:30,乐都区2017年村级公益事业一事一议财政奖补项目（二包）（二次）,青海省公共资源交易中心2楼6号开标室（西宁市西川南路53号文博大厦）,海东市乐都区瞿昙镇人民政府
17,2018-01-19 14:30,青海柴达木职业技术学院机电工程系优质特色专业实训设备采购,青海省行政服务和公共资源交易中心1号开标室,青海柴达木职业技术学院
18,2018-01-19 14:30,2017年学院职教专项资金医学美容专业设备、康复治疗设备、康复模型、设备、心理学设备采购项目（包一、包四二次）,青海省人民政府行政服务和公共资源交易中心二楼 1号开标室,青海卫生职业技术学院
19,2018-01-19 14:30,同仁县智能家庭医用全科套装设备采购项目,黄南州行政服务和公共资源交易中心,同仁县卫生和计划生育局
20,2018-01-19 14:30,西宁市第一职业技术学校机电专业实训设备采购项目(第二次),国采（青海）招标有限公司开标室（西宁市城北生物园区经四路26号国家级科技孵化器大厦3楼）,西宁市第一职业技术学校
21,2018-01-19 14:30,包虫病巡回医疗体检车载设备（多参数一体机全自动干式生化分析仪）项目,青海省公共资源交易中心二楼开标厅,果洛州卫生和计划生育委员会
22,2018-01-19 14:30,化隆县公安局审讯中心监控系统,西宁市城东区建国南路与夏都大街交汇处新千国际广场19号楼12层1124室,化隆回族自治县公安局
23,2018-01-19 14:40,青海省公安厅交通警察总队科技信息重点系统建设项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海省公安厅交通警察总队
24,2018-01-19 14:40,2017年高教实力提升专项采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心（青海省西宁市黄河路30号）,青海民族大学
25,2018-01-19 15:00,大通县2017年畜禽标准化规模养殖基地顺盛种养殖合作社建设项目,西宁市公共资源交易中心（海湖桥北，金座地产维尼谷湟水花园西门对面）,大通顺盛种养殖专业合作社
26,2018-01-19 15:00,青海柴达木职业技术学院机电工程系机械加工和金工实训基地配套设备采购,青海省行政服务和公共资源交易中心1号开标室,青海柴达木职业技术学院
27,2018-01-19 15:00,大通县2017年畜禽标准化规模养殖基地农发源养殖合作社建设项目,西宁市公共资源交易中心（海湖桥北，金座地产维尼谷湟水花园西门对面）,大通农发源养殖专业合作社
28,2018-01-19 15:00,青海省人民检察院2018年保安服务（第二次）,青海省西宁市城西区西川南路省公共资源交易中心,青海省人民检察院
29,2018-01-19 15:30,海东市平安区平安镇人民政府中村2017年困难救急面粉采购项目（第二次）,海东市平安区政务服务中心三楼开标室,海东市平安区平安镇人民政府
